============================
Extracted from MAST-U Session Logs server mysql database 26JUL18
server: drupal-internal.mastu.apps.l
database: localhost 3306 int_7_0
============================
SELECT convert(n.title, unsigned integer) AS shotnum,
u.field_shot_useful_value AS useful,
t.field_shot_type_value AS shot_type,
pre.field_shot_preshot_value AS preshot,
post.field_shot_postshot_value AS postshot,
s.field_shot_physics_shape_value AS plasma_shape,
i.field_shot_physics_ip_range_value AS ip_range,
h.field_shot_physics_heating_value AS heating,
c.field_shot_physics_div_config_value AS divertor_config,
tid_rmp.name AS rmptype,
tid_sc.name AS scenario,
tid_p.name AS pellets
FROM node n
LEFT JOIN int_7_0.field_data_field_shot_useful u ON u.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_type t ON t.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_preshot pre ON pre.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_postshot post ON post.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_physics_shape s ON s.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_physics_ip_range i ON i.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_physics_heating h ON h.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_physics_div_config c ON c.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_phys_rmp_coils rmp ON rmp.entity_id=n.nid
LEFT JOIN int_7_0.taxonomy_term_data tid_rmp ON tid_rmp.tid=rmp.field_shot_phys_rmp_coils_tid
LEFT JOIN int_7_0.field_data_field_shot_scenario sc ON sc.entity_id=n.nid
LEFT JOIN int_7_0.taxonomy_term_data tid_sc ON tid_sc.tid=sc.field_shot_scenario_tid
LEFT JOIN int_7_0.field_data_field_shot_phys_pellets p ON p.entity_id=n.nid
LEFT JOIN int_7_0.taxonomy_term_data tid_p ON tid_p.tid=p.field_shot_phys_pellets_tid
WHERE convert(n.title, unsigned integer)>=29737 AND convert(n.title, unsigned integer)<=30023;
============================

shotnum,useful,shot_type,preshot,postshot,plasma_shape,ip_range,heating,divertor_config,rmptype,scenario,pellets
29772,No,Physics, Move radius out 1cm further. , abort. ,,,Ohmic,Conventional,,S8,No
29773,No,Physics, Repeat. , Central abort. ,,,Ohmic,Conventional,,S8,No
29774,No,Physics, Repeat. , Central abort. ,,,Ohmic,Conventional,,S8,No
29775,No,Physics, Repeat , Bad beams (due to aborts) All ELM coils fired.  Coils generate back transition at 370ms ,,400 kA,SW Beam,Conventional,,S8,No
29776,No,Physics, Repeat for beams. , one beam. ,,400 kA,"2 Beams,SS Beam,SW Beam",Conventional,,S8,No
29777,Yes,Physics, Repeat for beams. Add cHFS test with no plenum pressure at 0.8s and enable valve , Good beams.  ELM mitigation seen at 370ms when coils applied. ,Lower Single Null,400 kA,"2 Beams,SS Beam,SW Beam",Conventional,26,S8,No
29778,Yes,Physics, R_out at 1.41m South at 50ms ELM coils at 1.0kA 40ms pulse on times ," Good shot, good beams - H mode from 370 ms. ",Lower Single Null,400 kA,SS Beam,Conventional,26,S8,No
29779,No,Physics, Repeat with I_ELM = 1.3kA. ,  ,,,Ohmic,Conventional,,S8,No
29780,Yes,Physics, Repeat after abort ," H mode at 370ms followed by back transition at 420ms, coincident with rise in RMP current to 1.3kA - pump out give back transition. ",Lower Single Null,400 kA,SS Beam,Conventional,26,S8,No
29781,Yes,Physics, Add in extra waveform from 500ms. 1.3kA during L-mode 1.1kA during H-mode ," Good shot without back transition. H mode from 400 ms, no back transition at this RMP current. ",Lower Single Null,400 kA,SS Beam,Conventional,26,S8,No
29782,Yes,Physics, Repeat with zero ELM current - zero ELM drives and disable PSUs , Good shot. H mode from 350 ms to 670ms. ,Lower Single Null,400 kA,SS Beam,Conventional,No,S8,No
29783,No,Physics, Restore 29777 Coils off version - zero ELM waveforms and deselect PSUs. S 150ms SW 200ms. , Good shot. Slight breakdown on south. H mode entry at 250ms. ,,400 kA,"2 Beams,SS Beam,SW Beam",Conventional,,S8,No
29784,Yes,Physics, Restore 29777 Raise I(ELM) to 1.4 kA. ," Good shot. H mode from 250ms, change in ELM frequency at coils on (370ms).  No back transition seen at the higher RMP current. Terminates in disruption at 620 ms.  ",Lower Single Null,400 kA,"2 Beams,SS Beam,SW Beam",Conventional,26,S8,No
29785,Yes,Physics, Restore 29598. Swap to South NBI - start 77ms CM2 fill pressure 266 mbar Decrease ECEL_MOD by 2V. , L mode throughout. Density step at 140ms - due to hand over. ,Connected Double Null,700 kA,SS Beam,Conventional,No,S5,No
29786,Yes,Physics, Adjust density reference to give better match to remove step Add SW at 97 ms (20 ms after South) , Good density match. H mode at 230 ms. ,Connected Double Null,700 kA,"2 Beams,SS Beam,SW Beam",Conventional,No,S5,No
29787,No,Physics, Repeat with SW at half power (0.7MW). ,  ,,,Ohmic,Conventional,,,No
29788,No,Physics, Repeat after abort ,  ,,,Ohmic,Conventional,,,No
29789,No,Physics, Repeat after aborts ,  ,,,Ohmic,Conventional,,,No
29790,Yes,Physics, Repeat after aborts , Good shot. H-mode at 250ms. ,Connected Double Null,700 kA,"2 Beams,SS Beam,SW Beam",Conventional,No,S5,No
29791,No,Physics, Repeat with SW at lower power. , Still H-mode. Good. ,,700 kA,"2 Beams,SS Beam,SW Beam",Conventional,,S5,No
29792,No,Physics, Restore 29662.  With 2MW South from 70ms 1.0kA RMP blips , Abort ,,,Ohmic,Conventional,,S3,No
29793,No,Physics, Try again. , Abort. ,,,Ohmic,Conventional,,S3,No
29794,Yes,Physics, Try again. , Good shot. ,Lower Single Null,700 kA,SS Beam,Conventional,26,S3,No
29795,Yes,Physics, cHFS 184mbar 2 beams , Good shot - H mode from 150 to 300 ms ,Connected Double Null,700 kA,"2 Beams,SS Beam,SW Beam",Conventional,No,S6,No
29796,Yes,Physics," Restore 29777 S 150 ms, SW 200 ms Retract ECELESTE Raise density ref from 279 to 320ms - aim to refuel during H mode period I(ELM) = 1.3 kA "," Good repeat - H mode from 250 ms. SW late by 23 ms (2 breakdowns). H mode later than in reference by 16ms, possibly from late beam.  Density during mitigated phase higher, but pump out still evident. Mitigation similar to 29777. All ELM coils fired. ",Lower Single Null,400 kA,"2 Beams,SS Beam,SW Beam",Conventional,26,S8,No
29797,No,Physics, Restore 29777 Move transition to density feedback to 300ms Raise FLOWREF to see if shot will run at a higher density - extend exisiting to 300ms. I(ELM) = 1.3 kA ,  ,,,Ohmic,Conventional,,S8,No
29798,No,Physics, Repeat after abort ,  ,,,Ohmic,Conventional,,S8,No
29799,Yes,Physics, Repeat after abort. Requested NBI reset too as two aborts have gone by - aborts affect beam performance. , H mode access delayed to 320ms.  Density no higher than in the reference. Two breakdowns on SW again. ,Lower Single Null,400 kA,"2 Beams,SS Beam,SW Beam",Conventional,26,S8,No
29800,Yes,Physics, Repeat.  Two RMP blips. , Good shot. H mode from 328ms which is at the peak of the second RMP blip. ,Lower Single Null,700 kA,SS Beam,Conventional,26,S3,No
29801,Yes,Physics," Repeat last, increasing RMP current to 1.3 kA ", H mode at 300ms. ELM affected by coils on.  ,Lower Single Null,700 kA,SS Beam,Conventional,26,S3,No
29802,No,Physics, Coils off shot. ,  ,,,Ohmic,Conventional,,S3,No
29803,Yes,Physics, Repeat after abort , Good shot. H mode at 320ms. ,Lower Single Null,700 kA,SS Beam,Conventional,No,S3,No
29804,Yes,Physics, Standard TF test shot. Test cHFS gas valve (5V from 100 ms to 300 ms). , Ok. cHFS worked. ,Connected Double Null,,Ohmic,Conventional,No,,No
29805,No,Physics, Standard PF test shot. Test HELIOS midplane high field side gas puff. , Aborted. ,,,Ohmic,Conventional,,,No
29806,Yes,Physics, Repeat after stopping turbo pump on sector 2. , Ok. Runcheck ok. ,Connected Double Null,,Ohmic,Conventional,No,,No
29807,No,Physics, Reduce FLOW_REF waveform from 14 to 13 at -0.018 and 0s. SS start at 100ms. HFS at 2 Bar. Zref to -0.055. Enable all ELM coils with no waveforms. Zero RP waveform. , Density still high at start of shot. ,,700 kA,SS Beam,Conventional,,S4,No
29808,No,Physics, SS delay to 140ms. Increase to 2MW.  Reduce FLOW_REF from 13 to 12 at -0.018 and 0s. ELM Coil waveforms put on to test coils. set IEFCC28 =0  , Type III ELMs. Density still high. ELM Coil C didn't fire. ,,700 kA,SS Beam,Conventional,,S4,No
29809,No,Physics, Increase ELM coil I to 1kA. , ELM Coil C did not fire. No XMC data. ,,700 kA,SS Beam,Conventional,,S4,No
29810,No,Physics, reload 29514 add SS beam from 100 ms changed Zref to +2cm - add ELM coils at 200 A for a test from 500 ms - zeroed RP waveform , aborted by ELM coil PSUC error  ,,,Ohmic,Conventional,,S1,No
29811,Yes,Physics, repeat  , overdense for first 70 ms - then modulation OK  - ELM coil C did not fire ,Connected Double Null,400 kA,SS Beam,Conventional,22,S1,No
29812,No,Physics, reduce HFS top bottom puffs to 3.0 (were 3.5 upper 4.5 lower) and extend duration from 70 to 120 ms  , Good density match to 90ms. ,,400 kA,SS Beam,Conventional,,S1,No
29813,Yes,Physics, Delay beam to start at150ms. GAS11 and GAS12 reduced at 0.12 to 1.5 from 3.  Delay for SS beam pump reset.  , Density blip still at 0.1s but rest of shot OK. Some Thomson scattering data missing. ,Connected Double Null,400 kA,SS Beam,Conventional,22,S1,No
29814,Yes,Physics, Try to get higher density. Extend GAS11 and GAS12 waveforms to 0.7s.  , Density drifting slightly higher. ,Connected Double Null,400 kA,SS Beam,Conventional,22,S1,No
29815,No,Physics," Low BT (0.4 T), low density, low Ip version of the gas modulation shot. Reduced  gas puff from top and bottom high field side by 30%. ", Killed by locked mode at 200 ms. ,,400 kA,SS Beam,Conventional,,S1,No
29816,No,Physics, Increase gas from top and bottom high field side. , Aborted. ,,,Ohmic,Conventional,,S1,No
29817,No,Physics, Repeat. , Aborted. ,,,Ohmic,Conventional,,S1,No
29818,No,Physics, Repeat. , Ok. Higher density but locked mode again because the density was not sustained. ,,400 kA,SS Beam,Conventional,,S1,No
29819,No,Physics, Add fuelling from top and bottom high filed side throughout the whole duration of the shot. Bring NBI early by 50 ms. , Aborted. ,,,Ohmic,Conventional,,S1,No
29820,No,Physics, Repeat. , Even early disruption. Interferometer failed. ,,400 kA,SS Beam,Conventional,,S1,No
29821,No,Physics, Increased fuelling during the shot. Delayed beam by 100 ms. ," Disrupted again as soon as the NBI came on. Density slightly better sustained, but still dropping during modulation. ",,400 kA,SS Beam,Conventional,,S1,No
29822,No,Physics," Reload 26789, change Zref. Two beams SS from 125 ms for 500 ms, SW from 150 ms for 500 ms. ", Abort. ,,,Ohmic,Conventional,,,No
29823,Yes,Physics, Repeat. , Disrupts at the end of the current ramp because of locked mode. ,Connected Double Null,1000 kA,"2 Beams,SS Beam,SW Beam",Conventional,No,S6,No
29824,Yes,Physics, Repeat with higher density request. ," Ok. Density behaved well and the shot survived for longer, but still disrupted at 245 ms.  ",Connected Double Null,1000 kA,"2 Beams,SS Beam,SW Beam",Conventional,No,S6,No
29825,No,Physics, Restore 29720. SS start at 100ms full power. SW start at 200ms full power. Adjust DRREF to -0.5 from 0.21s. Switch to density feedback at 0.3s. Adjust density waveform NELREF to better match 29720. Set TF to 0.4T.  , IRE disrupts shot.  Density OK until IRE. SW did not fire. ,,400 kA,"2 Beams,SS Beam,SW Beam",Conventional,,S8,No
29826,Yes,Physics, SW now starts at 150ms and SS starts at 200ms.  , Good ELMy H-mode from 250 to 350ms.  Impurity accumulation there after. ,Lower Single Null,400 kA,"2 Beams,SS Beam,SW Beam",Conventional,No,S8,No
29827,Yes,Physics, Repeat 29826 with SS only. Same start and power for SS.  , Very good H-mode 300 to 500ms.  ,Lower Single Null,400 kA,SS Beam,Conventional,No,S8,No
29828,No,Physics, Restore 29717. 600kA. LSND. Restore SW and SS beam times and settings from 29826. , Disrupts at 150 ms possibly because of an IRE. ,,700 kA,SW Beam,Conventional,,S8,No
29829,No,Physics, Repeat with different beam timing. , IRE at 130ms.  ,,700 kA,SW Beam,Conventional,,S8,No
29830,No,Physics, Change TF from 0.4 to 0.45T. SW start at 150ms. SS start at 200ms unchanged. , Abort. ,,,Ohmic,Conventional,,,No
29831,No,Physics, Repeat. , Abort. ,,,Ohmic,Conventional,,,No
29832,No,Physics, Repeat. , No Langmuir probes and survey spectrometer data. Starts to be underdense at 150 ms when a low frequency mode (7 kHz) seems to appear. Disrupts at 300 ms. ,,700 kA,"2 Beams,SS Beam,SW Beam",Conventional,,S3,No
29833,No,Physics, Repeat with one beam only. , Abort. ,,,Ohmic,Conventional,,,No
29834,No,Physics, Repeat. , Rotation is zero by time beam comes on. Density drop again at 150ms. ,,700 kA,SS Beam,Conventional,,S3,No
29835,No,Physics, Shifting SS start to 100ms. , Disrupts again at 170 ms. ,,700 kA,SS Beam,Conventional,,S8,No
29836,No,Physics," Reload 28823, lower Bt to 0.4 T and use gas recipe from 29514 (modulatio). ", Abort. ,,,Ohmic,Conventional,,S6,No
29837,No,Physics, Repeat. , Disrupts at 190 ms. ,,700 kA,SS Beam,Conventional,,S6,No
29838,Yes,Physics, TF test shot , OK ,Connected Double Null,,Ohmic,Conventional,No,,No
29839,Yes,Physics, PF test shot with ELM coil tests: 0.5kA 200-300ms. , FA2 trip: P6u/l reported as faulty. ,Connected Double Null,,Ohmic,Conventional,No,,No
29840,Yes,Physics, Ohmic test shot: repeat of 29019 with EFCCs in PF tracking mode. , EFCC worked ok. Shot survived. ,Connected Double Null,400 kA,Ohmic,Conventional,No,S1,No
29841,Yes,Physics, Repeat 29821 with EFCC in track mode. Increased fuelling during flattop. SS beam at 50 ms. , Ok. IRE at 200 ms. ,Connected Double Null,400 kA,SS Beam,Conventional,22,S1,No
29842,No,Physics, Repeat 29824 with BT 0.5 T. , Central abort ,,,Ohmic,Conventional,,S5,No
29843,No,Physics, Try again... , BT does not reach 0.5 T. Disrupts at 230 ms. ,,1000 kA,"2 Beams,SS Beam,SW Beam",Conventional,,S5,No
29844,No,Physics, Repeat with beams delayed by 100 ms and EFCC in tracking mode. Reduce BT to 0.45 T again. , Shot aborted. ,,,Ohmic,Conventional,,S5,No
29845,No,Physics, Repeat. ," Still disrupts at 220ms, possibly associated with q=2. ",,1000 kA,SS Beam,Conventional,,S5,No
29846,No,Physics, Repeat last shot with slower Ip ramp: reach flat-top at 300ms , disrupts at 300ms... seems the problematic rational is associated with the start of the Ip flat-top. ,,700 kA,"2 Beams,SS Beam,SW Beam",Conventional,,S5,No
29847,No,Physics, Repeat reference shot 27147 from M8 with Zref changed from 0 to -0.5cm , Central abort ,,,Ohmic,Conventional,,,No
29848,Yes,Physics, Try again... ," Shot lasted a lot longer than the reference, stops at 400ms. Density is lower than reference from 100ms ",Connected Double Null,700 kA,SS Beam,Conventional,No,S6,No
29849,Yes,Physics, Repeat reference shot 27148 with Zref changed from 0 to -0.5cm and beam notch requested from 190-250ms ," Plasma dies at 200ms, density appears to match reference reasonably well. Beam notch starts at correct time but plasma stops before the beam is due to re-apply. ",Connected Double Null,700 kA,SS Beam,Conventional,No,S6,No
29850,No,Physics, Repeat previous with SW beam instead of SS. , Central abort ,,,Ohmic,Conventional,,,No
29851,No,Physics, Try again... ," Beam was 23ms late, plasma dies at 160ms. ",,700 kA,SW Beam,Conventional,,S1,No
29852,Yes,Physics," Repeat 29848 with BT=0.39, and Zref =-2cm. "," Good, shot lasts until 350ms. A mode is present from ~100ms onwards but doesn't lock... nice regular sawteeth observed. ",Connected Double Null,700 kA,SS Beam,Conventional,No,S6,No
29853,No,Physics, Repeat previous with a bit more gas in plasma ramp-up and higher NELREF for the rest of the shot.... attempting to suppress the mode , Plasma dies at ~210ms due to locked error field mode. ,,700 kA,SS Beam,Conventional,,S6,No
29854,No,Physics, Repeat  shot with floe-ref in initial 100ms back to 12.15 and NELREF set to match 29470 density trace. ," shot dies at ~220ms, locked mode. ",,700 kA,SS Beam,Conventional,,S6,No
29855,No,Physics, Repeat 29852 with SS start at 100ms. , Shot dies at ~200ms... locked mode again. Density at 150ms is closer to that in 29853/4 than the ref shot... could be a bit of recycling legacy from the 2 higher density pulses? ,,700 kA,SS Beam,Conventional,,S6,No
29856,No,Physics, Repeat 29852 with Error field PF tracking switched on. , Aborted. ,,,Ohmic,Conventional,,,No
29857,No,Physics, Repeat. , Aborted. ,,,Ohmic,Conventional,,,No
29858,No,Physics, Repeat. , Aborted. ,,,Ohmic,Conventional,,,No
29859,No,Physics, Repeat. , Still killed by locked mode at 250 ms. ,,700 kA,SS Beam,Conventional,,S6,No
29860,No,Physics, Restore 29853 with EFCC in track mode. , Aborted. ,,,Ohmic,Conventional,,S5,No
29861,No,Physics, Repeat. , Aborted. ,,,Ohmic,Conventional,,S5,No
29862,No,Physics, Repeat. , shot dies at 220ms again. ,,700 kA,SS Beam,Conventional,,S5,No
29863,No,Physics, Repeat with SW from 50 to 120 ms to help spin up the plasma. , central abort ,,,Ohmic,Conventional,,S5,No
29864,No,Physics, try again... , central abort ,,,Ohmic,Conventional,,S5,No
29865,No,Physics, try again... , Aborted. ,,,Ohmic,Conventional,,S5,No
29866,No,Physics, try again... , Aborted. ,,,Ohmic,Conventional,,S5,No
29867,No,Physics, Repeat. , Abort.  ,,,Ohmic,Conventional,,S5,No
29868,No,Physics, try again after turning key and re-setting. , Abort  ,,,Ohmic,Conventional,,S5,No
29869,No,Physics, Retry after resetting by turning the key. , Aborted. ,,,Ohmic,Conventional,,S5,No
29870,No,Physics, Repeat 29841 with SS beam starting at 200 ms. , Aborted. ,,,Ohmic,Conventional,,S1,No
29871,No,Physics, Repeat. , Abort. ,,,Ohmic,Conventional,,S1,No
29872,Yes,Physics, Repeat. , Ok. No IRE. Went through for apparently no particular reason. ,Connected Double Null,400 kA,SS Beam,Conventional,22,S1,No
29873,No,Physics, Retry 29863. ," Plasma died at 195ms, presumably for the same reasons! ",,700 kA,"2 Beams,SS Beam,SW Beam",Conventional,,S1,No
29874,Yes,Physics, reload standard TF shot - Add ELM coils with 100 A  , All ELM coils energized OK ,Connected Double Null,,Ohmic,Conventional,No,,No
29875,Yes,Physics, PF test , OK except CCBV15. One FA tripped. ,Connected Double Null,,Ohmic,Conventional,No,,No
29876,Yes,Physics, DI startup. Switch to LFS gas only using density feedback. Set 3 ECC pulses at full current (1.4KA). SS NBI at 2MW.  , A couple of small IREs 0.100-0.130s. LLM set in earlier than hoped for. Density pumped out then refuelled.  ,Lower Single Null,700 kA,SS Beam,Conventional,25,S3,No
29877,Yes,Physics, Delay beam on time in hope of avoiding IREs ," Better shot, minimal IREs. TF reaching flattop rather late - have to put up with it. ",Lower Single Null,700 kA,SS Beam,Conventional,25,S3,No
29878,Yes,Physics, Delay IELM pulses and shrink second one. , generally OK. H mode at 0.350s.  ,Lower Single Null,700 kA,SS Beam,Conventional,25,S3,No
29879,Yes,Physics, DND lowish power highish density sawtoothing shot. Zref=0.0. Use ss NBI at 1.3MW from 0.125s. MSE being repatched for reduced SS voltage - wont be ready for this shot. , Fine shot. Density a bit less than reference (Dalpha quite a bit less). NBI power on target.  ,Connected Double Null,700 kA,SS Beam,Conventional,No,S6,No
29880,Yes,Physics, 10min GDC - try to minimise density climbing. Move diagnostics. , good repeat ,Connected Double Null,700 kA,SS Beam,Conventional,No,S6,No
29881,Yes,Physics, repeat with diagnostics moved - MSE now patched for the lower energy beam  , Ok shot. ,Connected Double Null,700 kA,SS Beam,Conventional,No,S6,No
29882,Yes,Physics, Repeat with changed diagnostic settings. MSE still available , OK shot. Density up a bit. ,Connected Double Null,700 kA,SS Beam,Conventional,No,S6,No
